URI,SmallURI,LargeURI,ImageWidth,Type,Priority,Caption,Taxon,Character,State,UseFor,TipStyle
resources/images/Fhyalinus/Fhyalinus_WL_10x.jpg,,,600,image-local,,Leaf midrib absent,Fissidens hyalinus,costa,Ecostate,,
resources/images/Fsubmarginatus/Fsubmarginatus_WL_10x.jpg,,,600,image-local,,Leaf midrib present,Fissidens submarginatus,costa,Costate,,
resources/images/Fpolypodioides/Fpolypodioides_WL_2x.jpg,,,600,image-local,,Extends halfway up the leaf,Fissidens polypodioides,vaginate-lamina-length,± 1/2 leaf length,,
resources/images/Ffontanus/Ffontanus_WL_2x.jpg,,,600,image-local,,Extends one-third up the leaf,Fissidens fontanus,vaginate-lamina-length,± 1/3 leaf length,,
resources/images/Ftaxifolius/Ftaxifolius_WL_40x.jpg,,,600,image-local,,Extends two-thirds up the leaf,Fissidens taxifolius,vaginate-lamina-length,± 2/3 leaf length,,
resources/images/Fscalaris/Fscalaris_WL_10x.jpg,,,600,image-local,,Extends almost to the tip,Fissidens scalaris,vaginate-lamina-length,± 4/5 leaf length,,
resources/images/Farcticus/Farcticus_WL_10x.jpg,,,600,image-local,,Extends three-quarters up the leaf,Fissidens arcticus,vaginate-lamina-length,± 3/4 leaf length,,
resources/images/BourbonTop.jpg,,,600,image-local,,Extends less than halfway up the leaf,,vaginate-lamina-length,± 2/5 leaf length,,
resources/images/MCC1.jpg,,,600,image-local,,"Leaf pocket is ± equal, edges of pocket line up",,vaginate-lamina-alignment,± equal,,
resources/images/MCFingerXSection.jpg,,,600,image-local,,"Leaf pocket is ± unequal, edges of pocket do not line up and are offset",,vaginate-lamina-alignment,± unequal,,
resources/images/Fserratus/Fserratus_WL_4x.jpg,,,600,image-local,,Leaf pocket apex ends on or near leaf edge,Fissidens serratus,vaginate-lamina-minor-lamina-apex,ending on or near margin,,
resources/images/Ffontanus/Ffontanus_WL_2x.jpg,,,600,image-local,,Leaf pocket apex ends on or near midrib,Fissidens fontanus,vaginate-lamina-minor-lamina-apex,ending on or near costa,,
resources/images/Fappalachensis/Fappalachensis_WL_4x.jpg,,,600,image-local,,Leaf pocket apex ends between midrib and leaf edge,Fissidens appalachensis,vaginate-lamina-minor-lamina-apex,ending between costa and margin,,
resources/images/Fobtusifolius/Fobtusifolius_MGN_40x.jpg,,,600,image-local,,Leaf edge is ± smooth,Fissidens obtusifolius,lamina-margin,± entire,,
resources/images/Flittlei/Flittlei_MGN_40x.jpg,,,600,image-local,,"Leaf edge has ± tiny rounded teeth, with teeth made of bulging walls of one cell",Fissidens littlei,lamina-margin,± crenulate,,
resources/images/Fpallidinervis/Fpallidinervis_MGN_40x.jpg,,,600,image-local,,"Leaf edge has small saw-like teeth, with teeth made of only part of one cell",Fissidens pallidinervis,lamina-margin,serrulate,,
resources/images/Fdubius/Fdubius_MGN_40x.jpg,,,600,image-local,,"Leaf edge has saw-like teeth, with teeth made of one or more cells",Fissidens dubius,lamina-margin,serrate,,
resources/images/Fpolypodioides/Fpolypodioides_MGN.jpg,,,600,image-local,,"Leaf edge has fine teeth, with teeth made of only the projecting tip of one cell",Fissidens polypodioides,lamina-margin,denticulate,,
resources/images/Fpauperculus/Fpauperculus_MGN_40x.jpg,,,600,image-local,,Leaf edge has tiny rounded teeth along with small saw-like teeth.,Fissidens pauperculus,lamina-margin,crenulate-serrulate,,
resources/images/Fdubius/Fdubius_MGN_40x.jpg,,,600,image-local,,Border absent,Fissidens dubius,limbidium,Elimbate,,
resources/images/Fcurvatus/Fcurvatus_WL_10x.jpg,,,600,image-local,,Border present on all leaves,Fissidens curvatus,limbidium,Limbate on all laminae,,
resources/images/Fsubmarginatus/Fsubmarginatus_WL_10x.jpg,,,600,image-local,,Border restricted to leaf pocket,Fissidens submarginatus,limbidium,Limbidium confined to vaginant laminae,,
resources/images/Fserratus/Fserratus_APX_40x.jpg,,,600,image-local,,Tip of midrib ends 1 cell before tip of leaf,Fissidens serratus,costa-apex-ending,1 cell before leaf apex,,
resources/images/Fventricosus/Fventricosus_APX_40x.jpg,,,600,image-local,,Tip of midrib ends 2-6 cells before tip of leaf,Fissidens ventricosus,costa-apex-ending,2-6 cells before leaf apex,,
resources/images/Fobtusifolius/Fobtusifolius_APX_40x.jpg,,,600,image-local,,Tip of midrib ends 3-10 cells before tip of leaf,Fissidens obtusifolius,costa-apex-ending,3-10 cells before leaf apex,,
resources/images/Fleptophyllus/Fleptophyllus_APX_40x.jpg,,,600,image-local,,Tip of midrib ends 6-16+ cells before tip of leaf,Fissidens leptophyllus,costa-apex-ending,6-16+ cells before leaf apex,,
resources/images/Fminutulus/Fminutulus_APX_40x.jpg,,,600,image-local,,The midrib extends to the tip of the leaf and ends there.,Fissidens minutulus,costa-apex-ending,± percurrent,,
resources/images/Fcurvatus/Fcurvatus_APX_40x.jpg,,,600,image-local,,The midrib extends past the tip of the leaf.,Fissidens curvatus,costa-apex-ending,± excurrent,,
resources/images/MCDBottom.jpg,,,600,image-local,,"The tip of the leaf ends in a sharp, stiff point formed by the midrib extending beyond the rest of the leaf.",,costa-apex-ending,cuspidate leaf apex ,,
resources/images/HighlandShortieSide.jpg,,,600,image-local,,"Examining a transverse section through the middle of the vaginate lamina (leaf pocket). The leaf midrib contains two peripheral guide cells (large, thin-walled) and two lateral bands of sterid cells (small, thick-walled) separated by one (sometimes more) large central cell.",,costa-anatomy,bryoides-type,,
resources/images/MCDBottom.jpg,,,600,image-local,,"Examining a transverse section through the middle of the vaginate lamina (leaf pocket). The leaf midrib contains three lateral bands (two lateral and one ventral) of sterid cells (small, thick-walled) and as many as 16 guide cells (large, thin-walled) arranged in a U or V formation, and as many as 5 large central cells.",,costa-anatomy,oblongifolius-type,,
resources/images/MCDBottom.jpg,,,600,image-local,,"Examining a transverse section through the middle of the vaginate lamina (leaf pocket). The leaf midrib contains four or more peripheral guide cells (large, thin-walled) and two lateral bands of sterid cells (small, thick-walled) separated by 1-5 large central cells.",,costa-anatomy,taxifolius-type,,
resources/images/Faphelotaxifolius/Faphelotaxifolius_DCX_40x.jpg,,,600,image-local,,Leaf thickness 1-layer of cells,Fissidens aphelotaxifolius,lamina-cell-thickness,1-stratose,,
resources/images/Fbushii/Fbushii_DCX_40x.jpg,,,600,image-local,,Leaf thickness occasionally 2-layers of cells,Fissidens bushii,lamina-cell-thickness,infrequently 2-stratose,,
resources/images/MCDBottom.jpg,,,600,image-local,,Leaf thickness 2-layers of cells,,lamina-cell-thickness,2-stratose,,
resources/images/Fgrandifrons/Fgrandifrons_DCX_40x.jpg,,,600,image-local,,Leaf thickness 2- to several layers of cells,,lamina-cell-thickness,2- to pluristratose,,
resources/images/HighlandShortieSide.jpg,,,600,image-local,,Leaf cells have one bump on each cell,,lamina-cell-ornamentation,Mammillose,,
resources/images/MCDBottom.jpg,,,600,image-local,,Leaf cells have many bumps on each cell,,lamina-cell-ornamentation,Pluripapillose,,
resources/images/MCDBottom.jpg,,,600,image-local,,Leaf cells lack bumps and are swollen,,lamina-cell-ornamentation,Smooth ± bulging,,
resources/images/MCDBottom.jpg,,,600,image-local,,Leaf cells lack bumps and are flat,,lamina-cell-ornamentation,Smooth ± plane,,
resources/images/HighlandShortieSide.jpg,,,600,image-local,,Leaf cell forms are ± six sided,,lamina-cell-shape,± hexagonal,,
resources/images/MCDBottom.jpg,,,600,image-local,,Leaf cell forms are ± boxy,,lamina-cell-shape,± quadrate  ,,
resources/images/MCDBottom.jpg,,,600,image-local,,Leaf cell forms are lengthened six-sided,,lamina-cell-shape,elongate-hexagonal,,
resources/images/MCDBottom.jpg,,,600,image-local,,"Leaf cell forms are six-sided, and when viewed from the side, they are usually about twice as tall as they are side to side",,lamina-cell-shape,"hexagonal, in transverse section usually twice as deep as wide",,
resources/images/MCDBottom.jpg,,,600,image-local,,Leaf cell forms in the proximal parts of the leaf pocket are diamond-shaped.,,lamina-cell-shape,rhombic in proximal portions of vaginant laminae,,
resources/images/MCDBottom.jpg,,,600,image-local,,Leaf cell forms are stretched with smaller cells along the leaf edge.,,lamina-cell-shape,"oblong, marginal cells smaller",,
resources/images/MCDBottom.jpg,,,600,image-local,,"Leaf cells forms are six-sided, but with soft, curved corners",,lamina-cell-shape,rounded-hexagonal,,
resources/images/HighlandShortieSide.jpg,,,600,image-local,,"Cells next to the midrib are distinct from surrounding leaf cells. They are significantly bigger, more transparent, and stretched out in form than the surrounding leaf cells.",,juxtacostal-cells,greatly enlarged ± clear ± oblong compared to other lamina cells,,
resources/images/MCDBottom.jpg,,,600,image-local,,"Cells next to the midrib are distinct from surrounding leaf cells. They are bigger, transparent, lack bumps, and stretched out in form than the surrounding leaf cells.",,juxtacostal-cells,larger ± clear ± smooth ± oblong compared to other lamina cells,,
resources/images/MCDBottom.jpg,,,600,image-local,,"Cells next to the midrib are distinct from surrounding leaf cells in that they are bigger, longer, boxy, and stretched out in form than the surrounding leaf cells.",,juxtacostal-cells,larger ± elongate ± quadrate ± oblong compared to other lamina cells,,
resources/images/MCDBottom.jpg,,,600,image-local,,Cells next to the midrib are bigger than the surrounding leaf cells.,,juxtacostal-cells,larger compared to other lamina cells,,
resources/images/MCDBottom.jpg,,,600,image-local,,Cells next to the midrib are similar in scale and form compared to the surrounding leaf cells.,,juxtacostal-cells,same size and shape as other lamina cells,,
resources/images/Fadianthoides/Fadianthoides_APX_40x.jpg,,,600,image-local,,The tip of the leaf and ending of the midrib of Fissidens adianthoides,Fissidens adianthoides,,,,
resources/images/Fadianthoides/Fadianthoides_DCX_40x.jpg,,,600,image-local,,"A thin, profile-view slice of a leaf cut near the tip without the pocket showing leaf thickness",Fissidens adianthoides,,,,
resources/images/Fadianthoides/Fadianthoides_JC_40x.jpg,,,600,image-local,,The cells next to the midrib of Fissidens adianthoides,Fissidens adianthoides,,,,
resources/images/Fadianthoides/Fadianthoides_MGN_40x.jpg,,,600,image-local,,The leaf edge of Fissidens adianthoides,Fissidens adianthoides,,,,
resources/images/Fadianthoides/Fadianthoides_MLC_40x.jpg,,,600,image-local,,The cells in the middle of the leaf of Fissidens adianthoides,Fissidens adianthoides,,,,
resources/images/Fadianthoides/Fadianthoides_VCX_40x.jpg,,,600,image-local,,"A thin, profile-view slice of a leaf cut from the middle of the pocket leaf showing costa anatomy",Fissidens adianthoides,,,,
resources/images/Fadianthoides/Fadianthoides_VL_40x.jpg,,,600,image-local,,The tip of the pocket leaf of Fissidens adianthoides,Fissidens adianthoides,,,,
resources/images/Fadianthoides/Fadianthoides_WL_4x.jpg,,,600,image-local,,A Fissidens adianthoides leaf,Fissidens adianthoides,,,,
resources/images/Famoenus/Famoenus_APX_40x.jpg,,,600,image-local,,The tip of the leaf and ending of the midrib of Fissidens amoenus,Fissidens amoenus,,,,
resources/images/Famoenus/Famoenus_DCX_40x.jpg,,,600,image-local,,"A thin, profile-view slice of a leaf cut near the tip without the pocket showing leaf thickness",Fissidens amoenus,,,,
resources/images/Famoenus/Famoenus_JC_40x.jpg,,,600,image-local,,The cells next to the midrib of Fissidens amoenus,Fissidens amoenus,,,,
resources/images/Famoenus/Famoenus_MGN_40x.jpg,,,600,image-local,,The leaf edge of Fissidens amoenus,Fissidens amoenus,,,,
resources/images/Famoenus/Famoenus_MLC_40x.jpg,,,600,image-local,,The cells in the middle of the leaf of Fissidens amoenus,Fissidens amoenus,,,,
resources/images/Famoenus/Famoenus_VCX_40x.jpg,,,600,image-local,,"A thin, profile-view slice of a leaf cut near the tip without the pocket showing leaf thickness",Fissidens amoenus,,,,
resources/images/Famoenus/Famoenus_VL_40x.jpg,,,600,image-local,,The tip of the pocket leaf of Fissidens amoenus,Fissidens amoenus,,,,
resources/images/Famoenus/Famoenus_WL_10x.jpg,,,600,image-local,,A Fissidens amoenus leaf,Fissidens amoenus,,,,
resources/images/Faphelotaxifolius/Faphelotaxifolius_APX_40x.jpg,,,600,image-local,,The tip of the leaf and ending of the midrib of Fissidens aphelotaxifolius,Fissidens aphelotaxifolius,,,,
resources/images/Faphelotaxifolius/Faphelotaxifolius_DCX_40x.jpg,,,600,image-local,,"A thin, profile-view slice of a leaf cut near the tip without the pocket showing leaf thickness",Fissidens aphelotaxifolius,,,,
resources/images/Faphelotaxifolius/Faphelotaxifolius_JC_40x.jpg,,,600,image-local,,The cells next to the midrib of Fissidens aphelotaxifolius,Fissidens aphelotaxifolius,,,,
resources/images/Faphelotaxifolius/Faphelotaxifolius_MGN_40x.jpg,,,600,image-local,,The leaf edge of Fissidens aphelotaxifolius,Fissidens aphelotaxifolius,,,,
resources/images/Faphelotaxifolius/Faphelotaxifolius_MLC_40x.jpg,,,600,image-local,,The cells in the middle of the leaf of Fissidens aphelotaxifolius,Fissidens aphelotaxifolius,,,,
resources/images/Faphelotaxifolius/Faphelotaxifolius_VCX_40x.jpg,,,600,image-local,,"A thin, profile-view slice of a leaf cut from the middle of the pocket leaf showing costa anatomy",Fissidens aphelotaxifolius,,,,
resources/images/Faphelotaxifolius/Faphelotaxifolius_VL_40x.jpg,,,600,image-local,,The tip of the pocket leaf of Fissidens aphelotaxifolius,Fissidens aphelotaxifolius,,,,
resources/images/Faphelotaxifolius/Faphelotaxifolius_WL_4x.jpg,,,600,image-local,,A Fissidens aphelotaxifolius leaf,Fissidens aphelotaxifolius,,,,
resources/images/Fappalachensis/Fappalachensis_APX_40x.jpg,,,600,image-local,,The tip of the leaf and ending of the midrib of Fissidens appalachensis,Fissidens appalachensis,,,,
resources/images/Fappalachensis/Fappalachensis_DCX_40x.jpg,,,600,image-local,,"A thin, profile-view slice of a leaf cut near the tip without the pocket showing leaf thickness",Fissidens appalachensis,,,,
resources/images/Fappalachensis/Fappalachensis_JC_40x.jpg,,,600,image-local,,The cells next to the midrib of Fissidens appalachensis,Fissidens appalachensis,,,,
resources/images/Fappalachensis/Fappalachensis_MGN_40x.jpg,,,600,image-local,,The leaf edge of Fissidens appalachensis,Fissidens appalachensis,,,,
resources/images/Fappalachensis/Fappalachensis_MLC_40x.jpg,,,600,image-local,,The cells in the middle of the leaf of Fissidens appalachensis,Fissidens appalachensis,,,,
resources/images/Fappalachensis/Fappalachensis_VCX_40x.jpg,,,600,image-local,,"A thin, profile-view slice of a leaf cut from the middle of the pocket leaf showing costa anatomy",Fissidens appalachensis,,,,
resources/images/Fappalachensis/Fappalachensis_VL_40x.jpg,,,600,image-local,,The tip of the pocket leaf of Fissidens appalachensis,Fissidens appalachensis,,,,
resources/images/Fappalachensis/Fappalachensis_WL_4x.jpg,,,600,image-local,,A Fissidens appalachensis leaf,Fissidens appalachensis,,,,
resources/images/Farcticus/Farcticus_APX_40x.jpg,,,600,image-local,,The tip of the leaf and ending of the midrib of Fissidens arcticus,Fissidens arcticus,,,,
resources/images/Farcticus/Farcticus_DCX_40x.jpg,,,600,image-local,,"A thin, profile-view slice of a leaf cut near the tip without the pocket showing leaf thickness",Fissidens arcticus,,,,
resources/images/Farcticus/Farcticus_JC_40x.jpg,,,600,image-local,,The cells next to the midrib of Fissidens arcticus,Fissidens arcticus,,,,
resources/images/Farcticus/Farcticus_MGN_40x.jpg,,,600,image-local,,The leaf edge of Fissidens arcticus,Fissidens arcticus,,,,
resources/images/Farcticus/Farcticus_MLC_40x.jpg,,,600,image-local,,The cells in the middle of the leaf of Fissidens arcticus,Fissidens arcticus,,,,
resources/images/Farcticus/Farcticus_VCX_40x.jpg,,,600,image-local,,"A thin, profile-view slice of a leaf cut from the middle of the pocket leaf showing costa anatomy",Fissidens arcticus,,,,
resources/images/Farcticus/Farcticus_VL_40x.jpg,,,600,image-local,,The tip of the pocket leaf of Fissidens arcticus,Fissidens arcticus,,,,
resources/images/Farcticus/Farcticus_WL_10x.jpg,,,600,image-local,,A Fissidens arcticus leaf,Fissidens arcticus,,,,
resources/images/Fasplenioides/Fasplenioides_APX_40x.jpg,,,600,image-local,,The tip of the leaf and ending of the midrib of Fissidens asplenioides,Fissidens asplenioides,,,,
resources/images/Fasplenioides/Fasplenioides_DCX_40x.jpg,,,600,image-local,,"A thin, profile-view slice of a leaf cut near the tip without the pocket showing leaf thickness",Fissidens asplenioides,,,,
resources/images/Fasplenioides/Fasplenioides_JC_40x.jpg,,,600,image-local,,The cells next to the midrib of Fissidens asplenioides,Fissidens asplenioides,,,,
